ITERARION NO:           1
 AVERAGE RES:   9.18540824E-03
 ITERARION NO:           2
 AVERAGE RES:   7.84652249E-04
 ITERARION NO:           3
 AVERAGE RES:   1.89827965E-03
 ITERARION NO:           4
 AVERAGE RES:   7.22594326E-04
 ITERARION NO:           5
 AVERAGE RES:   1.93999719E-03
 ITERARION NO:           6
 AVERAGE RES:   7.37703638E-04
 ITERARION NO:           7
 AVERAGE RES:   1.96639169E-03
 ITERARION NO:           8
 AVERAGE RES:   7.42477248E-04
 ITERARION NO:           9
 AVERAGE RES:   1.98123674E-03
 ITERARION NO:          10
 AVERAGE RES:   7.44878198E-04
 ITERARION NO:          11
 AVERAGE RES:   1.98919792E-03
 ITERARION NO:          12
 AVERAGE RES:   7.46153237E-04
 ITERARION NO:          13
 AVERAGE RES:   1.99350691E-03
 ITERARION NO:          14
 AVERAGE RES:   7.46830483E-04
 ITERARION NO:          15
 AVERAGE RES:   1.99573371E-03
 ITERARION NO:          16
 AVERAGE RES:   7.47183629E-04
 ITERARION NO:          17
 AVERAGE RES:   1.99697725E-03
 ITERARION NO:          18
 AVERAGE RES:   7.47381826E-04
 ITERARION NO:          19
 AVERAGE RES:   1.99763686E-03
 ITERARION NO:          20
 AVERAGE RES:   7.47485785E-04
 ITERARION NO:          21
 AVERAGE RES:   1.99800776E-03
 ITERARION NO:          22
 AVERAGE RES:   7.47542013E-04
 ITERARION NO:          23
 AVERAGE RES:   1.99820148E-03
 ITERARION NO:          24
 AVERAGE RES:   7.47570593E-04
 ITERARION NO:          25
 AVERAGE RES:   1.99831370E-03
 ITERARION NO:          26
 AVERAGE RES:   7.47590268E-04
 ITERARION NO:          27
 AVERAGE RES:   1.99838798E-03
 ITERARION NO:          28
 AVERAGE RES:   7.47603539E-04
 ITERARION NO:          29
 AVERAGE RES:   1.99839449E-03
 ITERARION NO:          30
 AVERAGE RES:   7.47604819E-04
 ITERARION NO:          31
 AVERAGE RES:   1.99839706E-03
 ITERARION NO:          32
 AVERAGE RES:   7.47605402E-04
 ITERARION NO:          33
 AVERAGE RES:   1.99840683E-03
 ITERARION NO:          34
 AVERAGE RES:   7.47605460E-04
 ITERARION NO:          35
 AVERAGE RES:   1.99840683E-03
 ITERARION NO:          36
 AVERAGE RES:   7.47605460E-04
 ITERARION NO:          37
 AVERAGE RES:   1.99840683E-03
 ITERARION NO:          38
 AVERAGE RES:   7.47605460E-04
 ITERARION NO:          39
 AVERAGE RES:   1.99840683E-03
 ITERARION NO:          40
 AVERAGE RES:   7.47605460E-04
 ITERARION NO:          41
 AVERAGE RES:   1.99840683E-03
 ITERARION NO:          42
 AVERAGE RES:   7.47605460E-04
 ITERARION NO:          43
 AVERAGE RES:   1.99840683E-03
 ITERARION NO:          44
 AVERAGE RES:   7.47605460E-04
 ITERARION NO:          45
 AVERAGE RES:   1.99840683E-03
 ITERARION NO:          46
 AVERAGE RES:   7.47605460E-04
 ITERARION NO:          47
 AVERAGE RES:   1.99840683E-03
 ITERARION NO:          48
 AVERAGE RES:   7.47605460E-04
 ITERARION NO:          49
 AVERAGE RES:   1.99840683E-03
 ITERARION NO:          50
 AVERAGE RES:   7.47605460E-04
 ITERARION NO:          51
 AVERAGE RES:   1.99840683E-03
 ITERARION NO:          52
 AVERAGE RES:   7.47605460E-04
 ITERARION NO:          53
 AVERAGE RES:   1.99840683E-03
 ITERARION NO:          54
